,addresses,postal_codes,districts,house_types,Sold:,List:,Taxes:,DOM:,Lot:,Rms:,Bedrooms:,Washrms:,Client Remks:,Extras:,Brkage Remks:,Kitchens:,Fam Rm:,Basement:,Fireplace/Stv:,Heat:,A/C:,Central Vac:,Apx Age:,Apx Sqft:,Assessment:,POTL:,Laundry lev:,Exterior:,Drive:,Gar/Gar Spcs:,Drive Pk Spcs:,Tot Pk Spcs:,UFFI:,Pool:,Prop Feat:,Zoning:,Cable TV:,Hydro:,Gas:,Phone:,Water:,Water Supply:,Sewer:,Waterfront:,Retirement:,Farm/Agr:,Oth Struct:,,Spec Desig:
685,3 Neapolitan Dr,M1P4B2,Toronto E09,Backsplit 4,"$685,000","$699,900","$2,864.93",18,45 x 162 Feet,6 + 1,3,2,*** Near Scarborough Town Centre *** Premium Size Lot ***Steps To Thomson Park *** Large 4 Level Backsplit *** Upgraded Kitchen *** Upgraded Windows *** Newer Roof Shingles *** New Gas Furnace (2017) *** Hardwood And Ceramic Tile Floors *** Mirror Closets *** Fabulous Large Backyard With Garden And Patio,"Central Air, Central Vac, Fridge, Stove, Washer, Dryer, Electrical Light Fixtures, All Window Covering, Hwt(O).",Must Submit Form 801 To Register Offers. Fax Or Email: Progress.Emal@Remaxrealtron.Com. Attach Schedule B With All Offers With Minimum 20K Bank Draft.,1,N,Finished,Y,Forced Air / Gas,Central Air,,,,,,,Brick,Private,None / 0.0,3,3,,None,,,,,,,Municipal,,Sewers,,,,,,Unknown
686,22 Dunstall Cres,M1E3M4,Toronto E10,Bungalow,"$630,000","$699,900","$2,840.00",7,50 x 100 Feet,7 + 3,3 + 1,2,"Welcome To This Fabulous Renovated Detached Home In Much Sought After West Hill Community. Home Boasts A Spacious Living & Dining Rm W/Crown Moulding, Pot Lights, Fireplace & Bay Window. Reno'd Kit W/Ceramic Flrs, Granite Counters, S/S Appl. 3 Generous Size Brdms + Extra Rm To The Side Of Hme That Can Be Used As Den/Family Or Bdrm. Main Flr Laundry, Hardwood Flrs Thruout, Newly Reno'd Main Flr Bathrm & Renovated Basement Apartment With Separate Entrance.","All S/S Appl. Washer, Dryer, All Elfs, Pool & Related Equipment, Central Air, Wardrobe W/Built In Shelves & Chest In Master, B/I Shelves In Garage. Close To All Amen Including Schools, Shops & Ttc, Excellent Tenant Willing To Stay!","Pls Certify Deposit Cheque & Attach Schedule B & 801 Form To Offers. Measurements Are Approximate. See Virtual Tour, Please Bring Offer Motivated Seller...Thank You For Showing!",1 + 1,Y,Finished / Sep Entrance,Y,Forced Air / Gas,Central Air,,,,,,,Brick,Private,Attached / 1.0,2,3,,Inground,"Library, Park, Place Of Worship, Public Transit, School",,,,,,Municipal,,Sewers,,,,,,Unknown
687,54 Twelfth St,M8V3G7,Toronto W06,Bungalow,"$670,000","$699,900","$2,912.91",18,25 x 110 Feet,4 + 2,2 + 1,2,"Fantastic Locale In The Heart Of Lake Shore Village/New Toronto. Just A Short Stroll To Rotary Park, The Lake, Waterfront Trails, Humber College Lakeshore Campus And Cool Coffee Spots & Cafes Along Lake Shore. Features Include: Hardwood Flrs,Reno'd Kitchen With S/S Appliances & A Finished Lower Level W/Family Rm, 3Pc Bath, 3rd Bedrm & Bonus Side Separate Entrance. Don't Miss The Sun-Splashed West Facing Yard With Over-Sized Artist's Studio Or Workshop...","...& Did I Mention Parking For One.S/S Fridge,S/S Stove,S/S B/I Dw,W&D,All Elfs,All Blinds(Excl:Drapes),2 Storage Sheds In Garden.**Offers Welcomed Anytime**","Please Attach Schb, 801 & Certified Cheque/Bank Draft To All Offers. See Attachments For Schb, 801 & Hi Summary. **Offers Welcomed Anytime, 48 Hr Irrevocable On All Offers **Contact La  For Full Home Inspection Report.",1,N,Finished / Sep Entrance,N,Forced Air / Gas,Central Air,,,,,,,Brick,Mutual,None / 0.0,1,1,,None,Park,,,,,,Municipal,,Sewers,,,,,,Unknown
688,28 Little Blvd,M6E4N2,Toronto W04,Bungalow,"$685,000","$699,900","$2,815.32",19,25 x 125 Feet,4 + 4,2 + 2,2,"Location, Location, Location!! Lovely Well-Kept Detached Brick Bungalow. Gorgeous Backyard With A Lot Of Grape Vines. Double Block Garage, Extra 2 Parking Spots. Finished Basement With Side Entrance,2 Bedrooms,Kitchen,4 Piece Bathroom & Laundry. Please Fax Or Email Offers W/48 Hrs Irrevocable. Deposit Cheque Must Be Certified Or Bank Draft.","Electrical Light Fixtures, Heating & Equipment, Hot Water Tank Rental, 2 Fridges, 2 Stoves, Washer&Dryer, Humidifier, Central Air Conditioning, Circuit Breakers.",Seller & Agent Do Not Warrant Retrofit Status Of Basement. Certified Cheque Or Bank Draft To Accompany Offers. Please Attach Schedule 'B' & Form '801' To Offers.,1 + 1,N,Finished / Sep Entrance,N,Forced Air / Gas,Central Air,,,,,,,Brick,Mutual,Detached / 2.0,2,4,,None,,,,,,,Municipal,,Sewers,,,,,,Unknown
689,5 Maxine Rd,M9V4V8,Toronto W10,2-Storey,"$634,000","$699,999","$2,512.03",50,31.35 x 78.25 Feet,6 + 3,3,3,"!!Move In Condition!!  Fully Deatched 3 Bedroom House, With ""A"" Side Garage. House Comes With Combine Living/Dining Plus Eat In Kitchen. Freshly Painted, Hardwood On Main And Laminate On 2nd. All 3 Bed Good Size, Newer Patio Door. Furnace/Ac 2016 Still Under Warranty, Shingles 2014. Close To All Amenities Like Mall, Ttc And School. Basement Has Full Washroom. Very Clean House","Fridge,Stove,D/W, Washer And Dryer. Blinds, Shed And All Ef.","Show And Sell With Confidence. Buyer And Agent Verify All Measurment. Plz Attach ""Sch B"" With Offer .  Thank You.",1,N,Finished,Y,Forced Air / Gas,Central Air,,31-50,,,,,Alum Siding / Brick,Private,Attached / 1.0,4,5,,None,,,,,,,Municipal,,Sewers,,,,,,Unknown
690,103 Wallasey Ave,M9M1E3,Toronto W05,Backsplit 3,"$694,000","$700,000","$3,200.00",28,50 x 164.83 Feet,7 + 1,3,2,"50 Ft X 164 Ft Deep Private Premium Lot - Lush Mature Trees (No Neighbour East Side) Humberlea Neighbourhood, Walking Distance To Strathburn Park, Shopping, Ttc, Schools, Recently Renovated, Gourmet Kitchen W/Granite Counter, Stainless Steel Appliances, Open Concept Layout, Strip Hardwood Floors, Bright And Spacious, Lookout Basement With Oversized Windows, 3 Minutes To Hwy 401. Priced For Immediate Sale! Updated Kitchen, Bathrooms, Designer Decor,","Includes: Stainless Steel Fridge, Stove, Dishwasher, Range Hood, Washer, Dryer. In Move-In Condition, Shows 10+ Just Enjoy This Truly Inviting Home Surrounded By Custom Million Dollar Homes - You Could Also Build Your Future Dream Home.","Easy To Show - On Lock Box - All Showings By Appointment - Owners Have A Baby.  Download Schedule ""B"" For All Offers & Provide Form 801 - Please Allow 48 Hour Irrevocable For All Offers, Email All Offers To: Macvoyteam@Royallepage.Ca.",1,N,Finished,Y,Forced Air / Gas,Central Air,,,,,,,Brick,Private,None / 0.0,5,5,No,None,,Residential,,,,,Municipal,,Sewers,,N,,,,Unknown
691,25 Oakridge Dr,M1M2B5,Toronto E08,Backsplit 4,"$699,999","$724,999","$2,683.88",20,46 x 110 Feet,7 + 1,4,2,"Upper Bluffs, Well Maintained 4 Bedroom Family Home With Recent Reno's & Updates,Newer Furnace, Newer Roof, Newer Windows, Newer Drive, Reno'd Kitchen With Granite Counters And Modern Backsplash, Reno'd Bath With Spa Like Features And Quartz Vanity, Large Rec. Room For Get Togethers, Great Area Schools, Move In And Enjoy.","Fridge, Stove, Built-In Dishwasher, Washer, Dryer, Gb&E, C/Air, Electric Light Fixtures, Window Coverings, Shed, Hwt (R).","Please Attach Copy Of Sch. B And Form 801 For Registration, 48 Hrs. Irrevocable And Cert. Cheque With Offers.",1,N,Finished,N,Forced Air / Gas,Central Air,,,,,,,Brick,Private,None / 0.0,3,3,No,None,,,,,,,Municipal,,Sewers,,,,,,Unknown
692,93 Banmoor Blvd,M1J2Z4,Toronto E09,Backsplit 3,"$698,000","$729,000","$2,570.50",20,45.5 x 112 Feet,6 + 1,3,2,"Extremely Well-Maintained/Updated Backsplit On One Of The Most Desireable Streets In The Cedarbrook Area!! Lovely Hdwd Flrs/Mn & Upper Levels << Quartz Kit C/Top June '17 ~ Updd Maple Kit Cpbds & Main Bath (Approx '98) ~ 2 Pc W/Rm & Stacked Laundry (2016) ~ Roof Reshingled Nov '11, Furnace & C/Air Jun '11, Windows '95 (Excl L/R '78) >> Pleasant Pergola Over Interlock Patio ~ Private & Pretty Manicured Yard ~ Shed W/Workbench & Power!! ~ Sep Side Dr Entry","All Elf/Ceil Fans, Window Cover, Carpet Runner/Stairs & Up Hall, Fridge, Stove, B/I Dw (As Is), Washer/Dryer 2016, Asst'd Garden Tools,  Aqua Rug/Bsmt, A/C, G.B& E < Patio Furn & Rec Rm Furn (Sofa, Black Recliner& Stool) Negotiable > Hwt/R",First Time Offered For Sale Since 1962! A Pleasure To Show And An Opportunity Not To Be Missed! Well-Loved By Original Owner. < N.B.  Go Slow On Drive!! City To Repair Tilted Concrete Driveway Curb > Pls Allow Min/24 Hrs Irrevoc. + Use 801 & Sch B.,1,N,Crawl Space / Finished,N,Forced Air / Gas,Central Air,,51-99,1100-1500,,,,Brick,Private,None / 0.0,2,2,,None,"Golf, Hospital, Park, Place Of Worship, Public Transit, School","* (Parcel 96-1, Section M801)",,,,,Municipal,,Sewers,,,,Garden Shed,,Unknown
693,48 Hollyhedge Dr,M1J1X4,Toronto E09,Bungalow,"$729,900","$729,900","$2,968.60",2,40 x 114 Feet,6,3,2,"High Demand Bendale Community. Perched On A Picturesque Proff Landscaped Lot, This Oversized Bungalow Boasts An Attached Garage, Three Car Private Drive, Large Living/Dining Room W/ Sparkling Floors, 3 Great Sized Bedrms, Bsmt W/ High Ceiling, 3Pc Bath & Sept Ent - Perfect For Inlaw Suite - Updated Furnace, Roof, Electrical, Some Windows, All This Just Steps To Schools, Library, Public Transit, Community Centre, Places Of Worship, Scarb Town Cntr & 401.","Fridge, Stove, Washer, Dryer, All Elf's, Gb&E ('08), Cac, Roof ('08 - 25Yr Shingles), Drive Re-Paved & West Side Of House Water Proofed & Weeping Tile Done (15). Updated Electrical & Some Windows.","Lock Box - Easy To Show. Offers Anytime, Carson Dunlop Home Insp Available. Plan Of Survey Attached.",1,N,Part Fin / Sep Entrance,N,Forced Air / Gas,Central Air,,,,,,,Brick,Private,Attached / 1.0,3,4,,None,"Hospital, Library, Park, Public Transit, Rec Centre, School",,,,,,Municipal,,Sewers,,,,,,Unknown
694,16 Paulvale Cres,M3J1K5,Toronto W05,Backsplit 3,"$725,000","$739,000","$3,152.76",9,40.37 x 117.7 Feet,7 + 3,4,2,"Spotlessly Clean+Well Maintained 4 Bdrm Backsplit Situated On A Very Large Pie-Shaped Lot. Easy Walking Distance To New Toronto York-Subway Extension (Coming Soon), Ttc, Shopping + York University. Quiet Crescent. Separate Entrance To Basement. Newer Shingles (2016), Gas Furnace (2011), A/C (2007). Large 10X8 Shed. Hardwood Floors In All Bdrms, Living Room + Dining Room. Main Bathroom Renovated In 2016 With 1 Piece Tub With Light.","Incl Gas Cooktop, Microwave, B/I Oven, Fridge, Washer, Dryer, Garden Shed, All Elf's, All Window Coverings. Note: Some Furniture Available To Be Included.","Plan Of Survey Only Available-Pls See Attachments. Easy To Show With Lockbox. *Pls Note-Toilet In 2 Pc Ensuite Is As Is Condition. Please Attach Schedule ""B"" + Form 801 To All Offers. Deposit Cheque Must Be Certified Upon Acceptance. Please Allow 48 Hr Irrevocable On Offers.",1,N,Finished / Sep Entrance,N,Forced Air / Gas,Central Air,,,,,,,Brick,Private,Carport / 0.0,2,3,,None,"Fenced Yard, Public Transit, School",,,,,,Municipal,,Sewers,,,,,,Unknown
695,95 Tenth St,M8V3E9,Toronto W06,Bungalow,"$690,000","$739,900","$3,178.43",6,25 x 113 Feet,6 + 4,3 + 1,2,"Turn Key Into This 3+1 Bungalow South Of Lakeshore, In Desirable New Toronto. This Home Features:  Lg Open Concept Living/Dining/Kitchen * Kitchen W/ Ss App, Ample Storage & New Laminate Floors * Lg Master Br W/ Double Closets * Main Floor Laundry * Separate Entrance To Lg Finished Bsmt W/ Nanny/Income Suite * New Fenced Backyard W/ Covered Outdoor Retreat. Ideal For Small Families & Investors. Don't Miss Out!!!","2 Fridges, 2 Stoves, Washer/Dryer, Window Coverings, All Elfs.",Offers Anytime. Easy To Show. Pls Make All Offers 48Hr Irrevocable. Attach Schedule B & 801 To All Offers. Sellers Do Not Warrant Retrofit Bsmt Apartment. Thank You For Showing!,1 + 1,N,Apartment / Sep Entrance,N,Forced Air / Gas,Central Air,N,51-99,1100-1500,,,,Brick,Mutual,Other / 1.0,1,2,No,None,"Fenced Yard, Park, Place Of Worship, Public Transit, Rec Centre, School",,A,A,A,A,Municipal,,Sewers,Indirect,,,,,Unknown
696,68 Harewood Ave,M1M2R3,Toronto E08,Bungalow,"$700,000","$748,000","$3,074.38",4,40 x 133 Feet,6,3,2,"Fantastic Opportunity For Builders/Investors.  Great Opportunity To Get Creative With Your Home And At The Same Time, Move Into A Sought After Location That Is On A Serious Upward Trend. Steps To Scarborough Bluffs ,Close To Go Train, Ttc.* Side Entrance To Basement*Wet Bar In The Basement* Fairmount & R H Kings School District*  25 Minutes To Downtown!!","2 Fridges, 2 Stoves, Washer, Dryer And Gas Burner & Equipment.",Please Attach Schedule B. Thanks For Showing.,2,Y,Finished,Y,Forced Air / Gas,Central Air,,,,,,,Brick,Available,None / 0.0,2,2,,None,,,Y,Y,Y,,Municipal,,Sewers,,,,,,Unknown
697,3 Detling Crt,M9W4S5,Toronto W10,Bungalow,"$725,000","$749,000","$3,032.00",8,32.52 x 163.75 Feet,6 + 3,3,2,"Nestled On A Quiet Court, Massive Pie Shaped Lot, Backing Onto School... This Delightful Home Is A Perfect Family Home!. Open Concept Main Level With New Flooring And Freshly Painted, Offers A Bright Eat-In Kitchen Large Living/Dining Area Perfect For Family Gatherings. The Separate Side Entrance Creates Easy Access To The Partially Finished Basement..",,"Please Attach Sch B & Form 801 To All Offers... Gregory T. Dobson (Executor Of The Estate)... Easy To Show, Book Through Office For Lockbox Access...",1,N,Part Fin / Sep Entrance,Y,Forced Air / Gas,Central Air,,,,,,,Brick,Private,Attached / 1.0,3,4,,None,,,,,,,Municipal,,Sewers,,,,,,Unknown
698,48 Brightside Dr,M1E3Z2,Toronto E10,Sidesplit 3,"$680,000","$749,700","$2,692.90",28,50 x 100 Feet,6 + 2,3,2,"Smoke & Pet Free Environment! Same Owners Since '84! Very Well Kept 3 Bed. All Brick Side-Split C/W An Over Sized 24' X 22' Heated Garage! New Roof-Sept'15! 2 Gas Fireplaces! 6 Appliances Included! Short Walk To Public & Catolic Elementary Schools, Grocery Store, & Ttc! A Beautifully Landscaped Property! Covered Front Porch! Large Deck In Back Yard! B/I Table & 2 Chairs In Kit.!","Broadloom W/L; All Window Coverings; All Elf's; 3 Clg. Fans; Fridge; Stove; Microwave; B/I Dishwasher; Washer; Gas Dryer; Gb&E; Ghwh(R): Power Hum.; Agdo & 2 Remotes; Work Bench In Garage; Barbecue, & Table & Chairs On Deck!",Survey Available! Please Include Schedule 'B' & Form 801 With Any Offers! 50 Gal. Ghwh- $20.98 Monthly Incl. Hst.! Field Stone Wall In Rec. Rm.! Brick Feature Wall In Liv. Rm.! Hot/Cold Water In Garage! Huge Crawl Space For Storage!,1,N,Crawl Space / Finished,Y,Forced Air / Gas,None,N,51-99,,,,,Brick,Pvt Double,Attached / 2.0,2,4,No,None,"Fenced Yard, Park, Public Transit, Rec Centre, School",Residential,,,,,Municipal,,Sewers,,N,,,,Unknown
699,25 Mcclure Cres,M1B1J5,Toronto E11,2-Storey,"$745,000","$749,900","$2,571.30",11,38.75 x 150 Feet,7 + 2,4 + 1,3,"A Rare Find 4Beds,2Storey, Detached Home Sitting On A  Premium Lot (150F Dp). Located In The Area Of Established Homes. Next Door To Everything, Ttc At Your Door, Mins To 401.Seperate Entry Area Leads Into The Bright, Spacious Family Room. Welll Designed Convenient Kitchen. Roof Shingles 2017. Newer Windows, Newer High-Efficiency Furnace. Freshly Painted.","Stainless Steel ( Fridge, Stove, Dishwasher), Washer & Dryer, All Electric Light Fixtures. Garden Shed.",Please Attach Form 801-Schb&C. Buyers/Buyer's Agent To Verify Measurments. Property Tax Is  Calculated Based On Taxation Year Phased-In Assessment 2017,1,Y,Finished,N,Forced Air / Gas,Central Air,,,,,,,Alum Siding / Brick,Pvt Double,Detached / 1.0,6,7,,None,"Fenced Yard, Public Transit, School",,,,,,Municipal,,Sewers,,,,Garden Shed,,Unknown
700,45 Oakridge Dr,M1M2A5,Toronto E08,Bungalow,"$700,000","$749,900","$2,782.00",13,46 x 110 Feet,5 + 3,3,2,"Great Opportunity! Detached 3 Bedroom Brick Bungalow In The Demand Cliffcrest Area. Very Well Maintained Home. Backing On To Park With Direct Access. Hardwood Floors Through Main Floor. Separate Entrance To Basement. Lots Of Potential. Premium 46X110 Lot. Ample 4 Car Parking. Detached Garage. Thermo Windows Throughout Home. Walking To Distance To Bus Stop, Schools, Mins To Downtown And More. A Must See!","Fridge, Stove, Washer And Dryer, All Electric Lights And Fixtures. All Window Coverings. Newer Roof, Windows, Furnace, And A/C. Private Entrance To Park From Your Backyard!",Lockbox For Easy Showings. Please Attach Schedule B. And Form 801. Seller Does Not Retrofit Status Of Basement Apartment. Buyer To Verify Measurements And Property Taxes. No Survey.,1,N,Finished / Sep Entrance,N,Forced Air / Gas,Central Air,N,,,,,,Brick,Private,None / 1.0,3,4,,None,,,,,,,Municipal,,Sewers,,,,Garden Shed,,Unknown
701,21 Minnacote Ave,M1E4B2,Toronto E10,2-Storey,"$765,000","$769,900","$2,734.26",10,50 x 201.58 Feet,7 + 4,3 + 1,4,"Charming Detached 2 Storey Home Nestled On A Rare 50X200 Ft Lot With 3 Spacious Bedrooms & 3 Bathrooms! Upgraded Kitchen, Separate Dining Room, Office On The Main Floor. Hardwood On Main Floor, Master Bedroom With Ensuite Bathroom. Romantic  Jacuzzi Tub Room On 2nd Flr. Finished Basement With Separate Entrance. Immaculately Kept! This Is A True Must See. Breathtaking Lot Detached Garage, Interlocking Drive. Newer Furnace, A/C And Roof Shingles","Steps To Beautiful Walking Trails, Mins To Major Hwy's And All Amenities Including Shopping And Great Schools. Mins To Guildwood Go With Easy Access To Downtown! Includes: Fridge, Stove, B/I D/W, Washer/Dryer, All Elf's, All Blinds& Coverin","Please Attached Schedule B To Offers, Allow 24 Hr Irrv, Certified Deposit Chq. Thanks For Showing.",1,N,Finished / Sep Entrance,N,Forced Air / Gas,Central Air,Y,,,,,,Stone / Vinyl Siding,Private,Detached / 1.0,5,4,,None,"Fenced Yard, Park, Public Transit, Wooded/Treed",,Y,Y,Y,Y,Municipal,,Sewers,,,,,,Unknown
702,302 Whitmore Ave,M6E2N4,Toronto W04,Bungalow,"$760,000","$769,900","$2,777.26",19,25 x 110 Feet,5 + 4,2 + 1,2,"Beautiful-2+1 Bdrm-2 Bath-All Brick Bungalow-Steps To Brand New Eglinton Crosstown L.R.T & Subway Station! Newer (As Per Seller) Main Floor Hardwood Flooring, Most Wdws, Kitchen Cabinets, Granite Counters, Glass & Stone Backslash, S/S Appliances, 1-4Pc & 1-3 Pc Bathroom, Electric Wiring (E.S.A. Certificate Attached), Rear Waterproofing, Bsmnt Flooring, Concrete Backyard Patio & Wood Fence, Paint T/O! Forced Air Gas Furnace + Central Air Conditioning","+ Rear Attached Garage Includes: Stainless Steel Fridge, Gas Stove, B/I Dishwasher & B/I Microwave Range Hood Fan. Washer & Dryer, Laundry Tub, Elf's & Ceiling Fans, Window Blinds, F.A.G. Furnace, C-Air Conditioning, Hot Water Tank (R)","2 Hours Notice-A Must. Attach Schedule B, C, Form 801, Attached Survey + Bank Draft Or Cert. Chq To All Offers. No Representation Or Warranty As To Legality Of Front Parking. Rear Garage Sold ""As Is"". E.S.A. Electrical Certificate Attached. Please Do Not Let Cats Out!",1 + 0,N,Finished / Sep Entrance,N,Forced Air / Gas,Central Air,,,,,,,Brick,Rt-Of-Way,Detached / 1.0,1,2,,None,"Fenced Yard, Library, Park, Place Of Worship, Public Transit, School",,,,,,Municipal,,Sewers,,,,,,Unknown
703,14 Elgar Ave,M1J 1M4,Toronto E08,Bungalow,"$765,000","$779,000","$2,701.28",44,43 x 120.5 Feet,6 + 4,3 + 2,2,"Gorgeous, Fully Renovated 3+2Bdrm Bungalow, Features 2 Modern Open Concept Custom Kitchen's With Granite Counter Tops, Ss Appliances, Pot Lights, Crown Molding,  Sep.Side Entrance To 2Bdrm Bsmt Apartment, Fully Renovated 4Pc/3Pc Baths, 21' Covered Front Porch, Over Sized Det. 2 Car Garage With Full 2nd Flr Storage, Home Renovation & Garage All Completed With City Permits.","All Elf's, All Window Coverings, 2 Fridges, 2 Stoves, Washer, Dryer, 2 B/I Dw, Hi Eff Gb&E, Cac, Ehwt(R), (Exclude Garage Hoist)","All Offers To Include Schedule ""B"" And Form 801, All Offers To Be E-Mailed To Dclegg@Rogers.Com",1 + 1,N,Apartment / Finished,N,Forced Air / Gas,Central Air,,51-99,,,,,Brick,Private,Detached / 2.0,5,7,,None,"Fenced Yard, Park, Public Transit, Rec Centre, School",,,,,,Municipal,,Sewers,,,,,,Unknown
704,34 Medina Cres,M1K4B7,Toronto E09,Bungalow,"$750,000","$779,000","$2,878.16",21,48 x 117.58 Feet,6 + 3,3 + 1,2,"Gorgeous Bungalow In A Prime Location! Large Lot, Shows Pride Of Ownership. Renovated Oak Kitchen, Upgraded Main Level Windows, Hardwood Floors Throughout Main Level. Covered Walkway To The Back Yard As Well As Garage Pass Through With Garage Door To The Large Backyard. Basement Features Large Rec. Room, 1 Bedroom, 3 Piece Bath, Kitchen And Cold Storage Room.","Existing 2 Fridges, 2 Stoves, Washer, Dryer, Cac, All Elf's And All Window Coverings",Att: Sched. B & Form 801 W/Offer As Well As Disclosure. Seller/La Do Not Warrant Retrofit Status Of Basement. Buyer/Ba To Verify Taxes And Room Sizes. Deposit Certified Cheque Or Bank Draft. Thank You For Showing. Co-Listing With Dino Al-Kahlisy Homelife Victory Team 416-358-7402,1 + 1,Y,Finished,N,Forced Air / Gas,Central Air,,,,,,,Brick,Private,Attached / 1.5,4,5,,None,,,,,,,Municipal,,Sewers,,,,,,Unknown
705,24 Arlene Cres,M1P3L8,Toronto E09,Backsplit 3,"$785,000","$785,000","$2,777.26",1,50 x 109.79 Feet,6 + 2,3,2,"Frank Lloyd Wright Inspired Home. Picturesque Mid-Century Home Situated On A Quiet Crescent In Beautiful Midland Park Neighbourhood. Bright Interior With Many Updates And An Open Concept That Flows Naturally On All Three Floors. Premium 50Ft Frontage With Private Drive And Carport. Close To Public Transit, Commuter Highways, And Scarborough Town Centre.","Fridge, Gas Stove, Bosch Dishwasher(2017),Maytag Washer(2017), Dryer, New Duro-Shed With Concrete Pad(2017), Central Air, Gas Fireplace, New Roof Shingles(2016), All Existing Window Covers & Light Fixtures.",Very Well Maintained Home. Offers Welcome Anytime. Easy To Show. Seller Would Like 5% Bank Draft Deposit With Offer. Pre-List Home Inspection Available. Existing Survey Attached.,1,N,Finished,Y,Forced Air / Gas,Central Air,,,,,,,Brick,Private,Carport / 1.0,2,3,,None,,,,,,,Municipal,,Sewers,,,,,,Unknown
706,220 Holborne Ave,M4C2R9,Toronto E03,Bungalow,"$745,000","$788,000","$3,238.63",12,25 x 100 Feet,6 + 5,2 + 2,2,"Incredible Investment!!! New & Vintage Home Buyers, Investors & Builders Check This Out! Beautiful Home East York/Danforth Area. Walk To Shops & Incredible Area Amenities. 2-Bed In-Law Suite/Apt In Basement W/ Shared Laundry Rm. Gorgeous Updated Main Floor Incl 2 Beds & 4Pc Bth. Dark Hardwood Floors, Granite Counters & Stainless Steel Appliances. Fab Backyard. Top-Up Reno Would Greatly Increase Living Space/Investment. Parks, Schools & Arena In Immed Area.","Ss Fridge, White Fridge, Ss Gas Stove, Ss Dishwasher, Washing Machine & Dryer, Newer Furnace, Garden Shed In Courtyard",Offers Welcome Anytime. Please Email To Erik.Jacobsen@Century21.Ca. 2 Hrs Notice For All Showings. Please Allow 24Hrs Irrevocable. Thanks For Showing!,2,N,Apartment / Finished,N,Forced Air / Gas,Central Air,,,,,,,Stucco/Plaster,Mutual,None / 0.0,1,1,,None,"Hospital, Park, Place Of Worship, Public Transit, Rec Centre, School",,Y,Y,Y,Y,Municipal,,Sewers,None,,,Garden Shed,,Unknown
707,23 Rowse Cres,M9P3L4,Toronto W09,Bungalow,"$800,000","$788,888","$3,695.46",17,45 x 125 Feet,6 + 3,3 + 1,2,"Remarkable Home In Islington Village!!Spacious Home That Has Been Lovingly Taken Care Of.  Sun Filled With Large Windows And Features A Separate Entrance Basement Apart With Its Own Laundry Facilities!!  2 Fireplaces In This Home 1 On Each Level.  Large Storage Area Attached To House.  Income Potential Or In-Law Apartment Or Nanny Suite Whatever Your Family Needs.  Close To All Shopping And Ttc, All Major Highways, Freshly Painted Neutral Colors","2 Fridges, 2 Stoves, 2 Washers, 1 Dryer,All Blinds, All Electrical Light Fixtures, Garage Door Remote,",Note: Offer Presentation 4:00 Today   B O N U S *****#####3%*******If Sold Before Oct 1st!!!!!!3% C O M M I S S I O   Note:  H U G E Price Reduction,1 + 1,N,Apartment / Sep Entrance,Y,Forced Air / Gas,Central Air,,,1100-1500,,,,Brick,Pvt Double,Attached / 1.0,4,5,,None,"Fenced Yard, Level, Park, Place Of Worship, Public Transit, School Bus Route",Residential,,,,,Municipal,,Sewers,,N,,Garden Shed,,Unknown
708,17 Riant St,M1M3S8,Toronto E08,Backsplit 3,"$745,000","$789,000","$3,341.32",24,45.11 x 110.38 Feet,8,4,2,"Solid Brick Home With Good Bones Just Waiting For Your Personal Touch. Channel Your Inner Designer With This Blank Canvas - The Possibilities Are Endless! First Time Offered For Sale, This Well-Loved Home Has Been In The Same Family Since 1975. Very Spacious Detached Family Home Boasting 4 Bdrms/2 Baths & 2000 Sqft Interior Plus An Additional 1439 Sqft Below Grade Unfinished Bsmt. With A Bit Of Vision & Designer Flair, This Home Will Truly Shine.","Convenient Double Car Garage & Ample Parking On Private Drive. Include: Fridge, Stove (As Is), Washer, Dryer, All Elfs, All Window Coverings, Freezer In Bsmt, Shelves And Workbench In Bsmt, Hwt (Rental), Gb&E.",Easy To Show. Offers Anytime With Absolutely Min 24 Hours Irrevocable Due To Elderly Sellers. Attach Schedule B And Form 801 To Offers.,1,Y,Unfinished,Y,Forced Air / Gas,None,,,2000-2500,,,,Brick,Private,Attached / 2.0,2,4,,None,,,,,,,Municipal,,Sewers,,,,,,Unknown
